seed,simulation_time[h],computation_time[s]
1,48,61.435
2,48,59.455
3,48,79.846
4,48,70.461
5,48,58.674
6,48,55.67
7,48,60.169
8,48,59.875
9,48,65.311
10,48,84.492
11,48,50.032
12,48,54.841
13,48,42.223
14,48,55.756
15,48,48.652
16,48,45.105
17,48,51.599
18,48,77.2
19,48,50.659
20,48,49.655
21,48,99.659
22,48,49.821
23,48,57.851
24,48,49.631
25,48,48.922
26,48,50.655
27,48,48.748
28,48,51.121
29,48,50.423
30,48,50.692
31,48,52.367
33,48,45.175
33,48,49.251
34,48,72.701
35,48,53.623
36,48,61.467
37,48,55.375
38,48,67.176
38,48,66.802
39,48,52.54
40,48,44.168
41,48,52.014
42,48,64.554
43,48,54.895
44,48,34.971
45,48,78.091
46,48,62.302
47,48,29.768
48,48,43.272
49,48,42.917
50,48,43.797
51,48,42.71
52,48,59.636
53,48,45.856
54,48,43.165
55,48,43.836
56,48,44.505
57,48,45.415
58,48,45.927
59,48,43.494
60,48,38.403
61,48,40.335
62,48,42.763
63,48,40.101
64,48,41.639
65,48,40.565
66,48,40.546
67,48,46.159
68,48,42.633
69,48,40.193
70,48,43.153
71,48,40.152
72,48,42.369
73,48,49.878
74,48,46.727
75,48,40.812
76,48,43.831
77,48,35.96
78,48,54.455
79,48,81.594
80,48,69.388
81,48,72.909
82,48,70.604
83,48,73.474
84,48,93.746
85,48,60.919
86,48,51.183
87,48,72.444
88,48,48.855
89,48,48.741
90,48,77.914
91,48,71.74
92,48,61.225
93,48,51.364
94,48,45.549
95,48,73.864
97,48,109.036
98,48,65.637
99,48,77.468
100,48,43.891
